Date,Mortagage Value
1975-01-31,0.0
1975-02-28,-3.3934252386002153
1975-03-31,-5.620360551431594
1975-04-30,-6.468716861081648
1975-05-31,-5.514316012725341
1975-06-30,-5.726405090137849
1975-07-31,-5.726405090137849
1975-08-31,-5.196182396606577
1975-09-30,-3.1813361611876876
1975-10-31,-2.2269353128313796
1975-11-30,-2.969247083775179
1975-12-31,-3.4994697773064694
1976-01-31,-4.347826086956523
1976-02-29,-6.574761399787903
1976-03-31,-7.104984093319193
1976-04-30,-7.423117709437957
1976-05-31,-6.998939554612939
1976-06-30,-6.150583244962885
1976-07-31,-5.302226935312832
1976-08-31,-4.559915164369032
1976-09-30,-4.772004241781541
1976-10-31,-5.302226935312832
1976-11-30,-6.574761399787903
1976-12-31,-6.7868504772004306
1977-01-31,-7.529162248144211
1977-02-28,-8.059384941675502
1977-03-31,-7.847295864262993
1977-04-30,-7.211028632025449
1977-05-31,-6.468716861081648
1977-06-30,-6.044538706256631
1977-07-31,-5.196182396606577
1977-08-31,-5.196182396606577
1977-09-30,-5.620360551431594
1977-10-31,-5.408271474019085
1977-11-30,-5.408271474019085
1977-12-31,-4.9840933191940495
1978-01-31,-4.347826086956523
1978-02-28,-2.8632025450689245
1978-03-31,-2.439024390243907
1978-04-30,-0.7423117709437994
1978-05-31,1.5906680805938531
1978-06-30,2.9692470837751976
1978-07-31,3.287380699893961
1978-08-31,3.8176033934252325
1978-09-30,3.4994697773064694
1978-10-31,4.559915164369032
1978-11-30,7.211028632025449
1978-12-31,9.75609756097561
1979-01-31,10.180275715800647
1979-02-28,10.392364793213154
1979-03-31,10.604453870625663
1979-04-30,11.346765641569464
1979-05-31,13.361611876988333
1979-06-30,17.073170731707314
1979-07-31,17.603393425238604
1979-08-31,17.603393425238604
1979-09-30,19.830328738069998
1979-10-31,23.435843054082724
1979-11-30,36.05514316012726
1979-12-31,36.79745493107106
1980-01-31,36.585365853658544
1980-02-29,38.28207847295864
1980-03-31,62.03605514316013
1980-04-30,73.17073170731706
1980-05-31,51.21951219512195
1980-06-30,34.782608695652186
1980-07-31,29.268292682926827
1980-08-31,33.191940615058336
1980-09-30,39.978791092258746
1980-10-31,46.235418875927884
1980-11-30,50.689289501590686
1980-12-31,56.839872746553546
1981-01-31,58.00636267232239
1981-02-28,60.44538706256629
1981-03-31,63.30858960763521
1981-04-30,65.21739130434783
1981-05-31,73.91304347826086
1981-06-30,77.09437963944856
1981-07-31,78.47295864262989
1981-08-31,83.35100742311771
1981-09-30,92.57688229056204
1981-10-31,95.65217391304348
1981-11-30,89.07741251325555
1981-12-31,79.42735949098623
1982-01-31,84.51749734888652
1982-02-28,86.6383881230117
1982-03-31,81.97242841993638
1982-04-30,79.10922587486745
1982-05-31,76.88229056203606
1982-06-30,77.09437963944856
1982-07-31,78.36691410392366
1982-08-31,72.53446447507953
1982-09-30,63.62672322375398
1982-10-31,54.93107104984093
1982-11-30,46.65959703075292
1982-12-31,44.432661717921526
1983-01-31,40.50901378579004
1983-02-28,38.28207847295864
1983-03-31,35.737009544008494
1983-04-30,35.524920466595965
1983-05-31,33.934252386002136
1983-06-30,36.47932131495227
1983-07-31,42.311770943796404
1983-08-31,46.44750795334041
1983-09-30,45.59915164369036
1983-10-31,43.58430540827147
1983-11-30,42.52386002120891
1983-12-31,42.311770943796404
1984-01-31,41.781548250265104
1984-02-29,40.29692470837753
1984-03-31,41.99363732767763
1984-04-30,44.750795334040305
1984-05-31,47.82608695652174
1984-06-30,52.916224814422065
1984-07-31,55.56733828207848
1984-08-31,53.44644750795335
1984-09-30,52.17391304347826
1984-10-31,49.84093319194063
1984-11-30,44.64475079533405
1984-12-31,39.76670201484624
1985-01-31,38.706256627783674
1985-02-28,37.009544008483566
1985-03-31,39.66065747613998
1985-04-30,39.978791092258746
1985-05-31,36.903499469777316
1985-06-30,29.58642629904561
1985-07-31,27.571580063626723
1985-08-31,29.268292682926827
1985-09-30,29.268292682926827
1985-10-31,28.738069989395555
1985-11-30,24.920466595970307
1985-12-31,19.406150583244962
1986-01-31,15.376458112407224
1986-02-28,13.573700954400861
